Date,Commodity,Farmgate (average),Retail (average),Margin
2022-03,Coconut,9.985,26.055,16.07
2022-03,Corn,19.668,39.658,19.991
2022-03,Mango,28.755,109.251,80.496
2022-03,Palay,17.32,44.867,27.547
2022-03,Pineapple,14.66,57.403,42.743
2022-03,Ube,25.2,59.51,34.31
2022-04,Banana,18.968,43.162,24.194
2022-04,Cassava,9.18,31.82,22.64
2022-04,Coconut,10.085,26.505,16.42
2022-04,Corn,19.32,39.979,20.659
2022-04,Mango,26.252,101.216,74.963
2022-04,Palay,17.77,44.99,27.22
2022-04,Pineapple,14.735,58.617,43.882
2022-04,Ube,25.08,60.68,35.6
2022-05,Banana,18.918,43.823,24.905
2022-05,Cassava,8.995,32.03,23.035
2022-05,Coconut,9.875,26.835,16.96
2022-05,Corn,18.995,40.269,21.274
2022-05,Mango,27.86,94.107,66.247
2022-05,Palay,17.22,45.037,27.817
2022-05,Pineapple,14.605,59.007,44.402
2022-05,Ube,28.98,60.92,31.94
2022-06,Banana,18.524,42.682,24.158
2022-06,Cassava,9.13,32.96,23.83
2022-06,Coconut,9.815,26.955,17.14
2022-06,Corn,19.86,40.713,20.853
2022-06,Mango,37.112,99.523,62.41
2022-06,Palay,17.78,45.263,27.483
2022-06,Pineapple,14.465,55.493,41.028
2022-06,Ube,27.79,62.82,35.03
2022-07,Banana,18.312,42.162,23.85
2022-07,Cassava,9.535,33.11,23.575
2022-07,Coconut,9.405,27.315,17.91
2022-07,Corn,21.225,41.721,20.496
2022-07,Mango,29.475,107.131,77.656
2022-07,Palay,17.915,45.397,27.482
2022-07,Pineapple,13.065,54.45,41.385
2022-07,Ube,28.75,62.04,33.29
2022-08,Banana,18.348,41.79,23.442
2022-08,Cassava,9.155,33.54,24.385
2022-08,Coconut,9.315,27.46,18.145
2022-08,Corn,21.235,41.818,20.583
2022-08,Mango,32.298,115.38,83.082
2022-08,Palay,18.29,45.577,27.287
2022-08,Pineapple,16.295,54.91,38.615
2022-08,Ube,34.03,63.83,29.8
2022-09,Banana,18.204,41.72,23.516
2022-09,Cassava,9.2,33.36,24.16
2022-09,Coconut,9.235,27.605,18.37
2022-09,Corn,21.77,42.559,20.789
2022-09,Mango,34.437,120.389,85.952
2022-09,Palay,17.345,45.503,28.158
2022-09,Pineapple,16.385,55.493,39.108
2022-09,Ube,30.77,65.34,34.57
2022-10,Banana,18.054,41.24,23.186
2022-10,Cassava,9.32,33.79,24.47
2022-10,Coconut,9.485,27.705,18.22
2022-10,Corn,21.132,43.235,22.103
2022-10,Mango,35.997,123.749,87.752
2022-10,Palay,18.38,45.54,27.16
2022-10,Pineapple,17.845,57.277,39.432
2022-10,Ube,40.34,66.57,26.23
2022-11,Banana,18.184,41.482,23.298
2022-11,Cassava,9.94,34.5,24.56
2022-11,Coconut,9.39,27.84,18.45
2022-11,Corn,21.922,44.803,22.88
2022-11,Mango,44.002,129.036,85.033
2022-11,Palay,18.375,45.653,27.278
2022-11,Pineapple,16.24,60.937,44.697
2022-11,Ube,35.15,66.97,31.82
2022-12,Banana,19.006,42.045,23.039
2022-12,Cassava,9.68,34.31,24.63
2022-12,Coconut,9.735,27.945,18.21
2022-12,Corn,21.805,44.853,23.048
2022-12,Mango,37.395,132.994,95.599
2022-12,Palay,19.225,45.813,26.588
2022-12,Pineapple,15.26,61.213,45.953
2022-12,Ube,33.96,67.66,33.7
2023-01,Banana,20.22,44.118,23.898
2023-01,Cassava,10.305,35.82,25.515
2023-01,Coconut,9.18,27.995,18.815
2023-01,Corn,24.348,44.852,20.504
2023-01,Mango,38.595,131.419,92.824
2023-01,Palay,18.485,45.757,27.272
2023-01,Pineapple,14.145,61.553,47.408
2023-01,Ube,33.4,66.88,33.48
2023-02,Banana,20.01,44.5,24.49
2023-02,Cassava,9.795,35.43,25.635
2023-02,Coconut,9.2,27.88,18.68
2023-02,Corn,26.273,44.745,18.472
2023-02,Mango,35.1,130.446,95.346
2023-02,Palay,18.785,45.843,27.058
2023-02,Pineapple,15.325,61.37,46.045
2023-02,Ube,30.66,65.77,35.11
2023-03,Banana,20.694,45.162,24.469
2023-03,Cassava,9.97,34.33,24.36
2023-03,Coconut,9.24,27.845,18.605
2023-03,Corn,24.793,44.759,19.966
2023-03,Mango,35.108,128.283,93.175
2023-03,Palay,19.36,46.043,26.683
2023-03,Pineapple,16.32,62.89,46.57
2023-03,Ube,24.65,66.59,41.94
2023-04,Banana,20.504,46.485,25.981
2023-04,Cassava,10.6,35.37,24.77
2023-04,Coconut,9.385,27.855,18.47
2023-04,Corn,24.28,44.842,20.562
2023-04,Mango,32.65,124.391,91.741
2023-04,Palay,20.02,46.353,26.333
2023-04,Pineapple,15.98,63.983,48.003
2023-04,Ube,28.81,65.54,36.73
2023-05,Banana,21.47,46.868,25.398
2023-05,Cassava,10.895,35.79,24.895
2023-05,Coconut,9.12,27.825,18.705
2023-05,Corn,24.58,45.417,20.837
2023-05,Mango,27.992,110.857,82.865
2023-05,Palay,20.19,46.593,26.403
2023-05,Pineapple,17.23,65.973,48.743
2023-05,Ube,26.46,68.75,42.29
2023-06,Banana,20.748,46.65,25.902
2023-06,Cassava,10.285,35.83,25.545
2023-06,Coconut,9.24,27.855,18.615
2023-06,Corn,22.248,45.605,23.358
2023-06,Mango,27.125,99.574,72.449
2023-06,Palay,20.945,46.78,25.835
2023-06,Pineapple,17.39,63.53,46.14
2023-06,Ube,31.45,69.18,37.73
2023-07,Banana,20.858,46.138,25.28
2023-07,Cassava,10.705,36.55,25.845
2023-07,Coconut,9.36,27.935,18.575
2023-07,Corn,21.44,45.43,23.99
2023-07,Mango,26.64,98.363,71.723
2023-07,Palay,20.76,47.083,26.323
2023-07,Pineapple,16.935,59.923,42.988
2023-07,Ube,35.43,70.47,35.04
2023-08,Banana,20.874,46.302,25.428
2023-08,Cassava,10.995,36.83,25.835
2023-08,Coconut,9.275,27.91,18.635
2023-08,Corn,22.242,45.461,23.218
2023-08,Mango,39.403,110.276,70.872
2023-08,Palay,22.435,49.06,26.625
2023-08,Pineapple,16.91,59.22,42.31
2023-08,Ube,23.24,69.56,46.32
2023-09,Banana,21.45,46.348,24.897
2023-09,Cassava,10.71,37.47,26.76
2023-09,Coconut,9.305,27.965,18.66
2023-09,Corn,21.405,46.367,24.962
2023-09,Mango,47.15,124.02,76.87
2023-09,Palay,20.86,53.757,32.897
2023-09,Pineapple,18.11,60.447,42.337
2023-09,Ube,22.68,70.47,47.79
2023-10,Banana,20.574,47.802,27.228
2023-10,Cassava,10.98,37.71,26.73
2023-10,Coconut,9.435,28.025,18.59
2023-10,Corn,20.808,46.634,25.826
2023-10,Mango,44.605,134.401,89.796
2023-10,Palay,21.375,52.433,31.058
2023-10,Pineapple,19.37,61.617,42.247
2023-10,Ube,41.46,70.39,28.93
2023-11,Banana,20.654,48.458,27.804
2023-11,Cassava,11.12,38.06,26.94
2023-11,Coconut,9.61,28.07,18.46
2023-11,Corn,21.768,46.473,24.705
2023-11,Mango,49.605,134.619,85.014
2023-11,Palay,22.4,53.397,30.997
2023-11,Pineapple,18.745,62.447,43.702
2023-11,Ube,36.78,70.14,33.36
2023-12,Banana,20.732,49.06,28.328
2023-12,Cassava,11.32,38.24,26.92
2023-12,Coconut,9.98,28.155,18.175
2023-12,Corn,22.788,46.567,23.78
2023-12,Mango,43.593,134.884,91.291
2023-12,Palay,23.88,55.127,31.247
2023-12,Pineapple,19.985,62.663,42.678
2023-12,Ube,41.52,71.5,29.98
2024-01,Banana,22.672,50.282,27.611
2024-01,Cassava,12.45,37.89,25.44
2024-01,Coconut,10.455,28.31,17.855
2024-01,Corn,20.35,47.057,26.707
2024-01,Mango,37.115,140.647,103.532
2024-01,Palay,26.835,56.153,29.318
2024-01,Pineapple,21.76,64.327,42.567
2024-01,Ube,34.65,73.74,39.09
2024-02,Banana,23.06,50.038,26.978
2024-02,Cassava,12.445,37.05,24.605
2024-02,Coconut,10.45,28.34,17.89
2024-02,Corn,19.975,47.123,27.148
2024-02,Mango,39.73,133.233,93.503
2024-02,Palay,26.73,56.93,30.2
2024-02,Pineapple,22.183,65.933,43.75
2024-02,Ube,40.22,70.57,30.35
2024-03,Banana,23.422,50.425,27.003
2024-03,Cassava,13.79,36.76,22.97
2024-03,Coconut,11.165,28.3,17.135
2024-03,Corn,19.12,47.344,28.224
2024-03,Mango,39.832,130.919,91.086
2024-03,Palay,25.6,57.433,31.833
2024-03,Pineapple,21.7,66.747,45.047
2024-03,Ube,41.72,73.13,31.41
2024-04,Banana,23.622,51.162,27.541
2024-04,Cassava,10.78,37.85,27.07
2024-04,Coconut,11.275,28.285,17.01
2024-04,Corn,21.57,47.905,26.335
2024-04,Mango,31.735,121.579,89.844
2024-04,Palay,24.94,57.45,32.51
2024-04,Pineapple,31.733,67.747,36.013
2024-04,Ube,50.89,72.96,22.07
2024-05,Banana,25.147,50.81,25.663
2024-05,Cassava,14.68,38.09,23.41
2024-05,Coconut,11.08,28.26,17.18
2024-05,Corn,22.6,48.395,25.795
2024-05,Mango,27.04,107.214,80.174
2024-05,Palay,26.25,57.167,30.917
2024-05,Pineapple,32.877,68.56,35.683
2024-05,Ube,91.34,71.87,-19.47
2024-06,Banana,24.163,50.87,26.707
2024-06,Cassava,14.78,38.22,23.44
2024-06,Coconut,10.115,28.39,18.275
2024-06,Corn,22.823,48.856,26.033
2024-06,Mango,33.088,88.841,55.754
2024-06,Palay,25.07,57.197,32.127
2024-06,Pineapple,26.7,68.813,42.113
2024-06,Ube,42.88,71.34,28.46
2024-07,Banana,25.073,50.872,25.799
2024-07,Cassava,13.48,38.85,25.37
2024-07,Coconut,11.97,28.445,16.475
2024-07,Corn,19.973,49.678,29.705
2024-07,Mango,28.838,94.67,65.832
2024-07,Palay,25.485,57.057,31.572
2024-07,Pineapple,24.213,65.953,41.74
2024-07,Ube,28.22,73.15,44.93
2024-08,Banana,25.93,51.36,25.43
2024-08,Cassava,15.065,39.43,24.365
2024-08,Coconut,12.945,28.475,15.53
2024-08,Corn,19.257,50.245,30.989
2024-08,Mango,31.182,111.273,80.09
2024-08,Palay,23.785,56.767,32.982
2024-08,Pineapple,23.687,62.22,38.533
2024-08,Ube,40.02,75.2,35.18
2024-09,Banana,26.032,51.46,25.428
2024-09,Cassava,15.445,39.61,24.165
2024-09,Coconut,12.58,28.53,15.95
2024-09,Corn,20.987,50.154,29.167
2024-09,Mango,34.895,134.147,99.252
2024-09,Palay,21.205,56.677,35.472
2024-09,Pineapple,25.047,63.71,38.663
2024-09,Ube,43.86,73.66,29.8
2024-10,Banana,21.398,51.79,30.392
2024-10,Cassava,15.6,39.21,23.61
2024-10,Coconut,12.455,28.6,16.145
2024-10,Corn,18.313,49.905,31.592
2024-10,Mango,42.092,150.059,107.966
2024-10,Palay,20.63,56.49,35.86
2024-10,Pineapple,26.02,63.853,37.833
2024-10,Ube,38.46,75.14,36.68
2024-11,Banana,22.018,51.335,29.317
2024-11,Cassava,16.87,40.18,23.31
2024-11,Coconut,13.34,28.68,15.34
2024-11,Corn,20.037,49.444,29.407
2024-11,Mango,37.828,142.894,105.067
2024-11,Palay,21.0,55.867,34.867
2024-11,Pineapple,27.14,66.12,38.98
2024-11,Ube,39.28,76.98,37.7
2024-12,Banana,24.067,51.78,27.713
2024-12,Cassava,15.24,40.61,25.37
2024-12,Coconut,13.215,29.115,15.9
2024-12,Corn,21.2,48.786,27.586
2024-12,Mango,43.7,147.203,103.503
2024-12,Palay,21.7,55.537,33.837
2024-12,Pineapple,25.173,67.04,41.867
2024-12,Ube,51.36,77.89,26.53
2025-01,Banana,21.302,52.482,31.181
2025-01,Cassava,11.825,40.83,29.005
2025-01,Coconut,12.655,29.905,17.25
2025-01,Corn,14.853,48.902,34.048
2025-01,Mango,45.018,154.804,109.787
2025-01,Palay,21.945,55.173,33.228
2025-01,Pineapple,26.193,67.09,40.897
2025-01,Ube,68.94,78.75,9.81
2025-02,Banana,24.503,53.192,28.689
2025-02,Cassava,11.07,40.47,29.4
2025-02,Coconut,11.45,30.275,18.825
2025-02,Corn,14.66,47.335,32.675
2025-02,Mango,40.03,143.934,103.904
2025-02,Palay,21.075,54.447,33.372
2025-02,Pineapple,28.8,68.883,40.083
2025-02,Ube,27.47,79.02,51.55
2025-03,Banana,24.128,54.192,30.064
2025-03,Cassava,10.86,40.34,29.48
2025-03,Coconut,12.925,30.625,17.7
2025-03,Corn,15.093,47.521,32.428
2025-03,Mango,46.93,132.87,85.94
2025-03,Palay,19.735,53.497,33.762
2025-03,Pineapple,32.373,70.947,38.573
2025-03,Ube,49.83,78.92,29.09
2025-04,Banana,25.497,54.79,29.293
2025-04,Cassava,10.455,40.02,29.565
2025-04,Coconut,12.96,31.2,18.24
2025-04,Corn,16.473,46.774,30.3
2025-04,Mango,38.505,124.039,85.534
2025-04,Palay,19.165,51.893,32.728
2025-04,Pineapple,23.275,71.61,48.335
2025-04,Ube,18.57,77.4,58.83
2025-05,Banana,25.462,55.328,29.866
2025-05,Cassava,11.125,39.86,28.735
2025-05,Coconut,14.235,31.96,17.725
2025-05,Corn,21.81,47.005,25.195
2025-05,Mango,36.948,118.563,81.615
2025-05,Palay,18.45,50.813,32.363
2025-05,Pineapple,15.917,71.613,55.697
2025-05,Ube,31.58,79.39,47.81
2025-06,Banana,21.898,54.925,33.027
2025-06,Cassava,16.695,39.07,22.375
2025-06,Coconut,14.875,32.825,17.95
2025-06,Corn,18.347,47.672,29.325
2025-06,Mango,37.225,115.541,78.316
2025-06,Palay,16.825,49.507,32.682
2025-06,Pineapple,20.543,71.883,51.34
2025-06,Ube,30.0,79.74,49.74
2025-07,Banana,20.82,54.43,33.61
2025-07,Cassava,14.46,39.09,24.63
2025-07,Coconut,12.82,33.4,20.58
2025-07,Corn,18.973,48.426,29.453
2025-07,Mango,39.415,116.934,77.519
2025-07,Palay,17.315,48.58,31.265
2025-07,Pineapple,16.41,68.203,51.793
2025-07,Ube,32.07,81.52,49.45
2025-08,Banana,19.563,53.948,34.384
2025-08,Cassava,13.805,39.55,25.745
2025-08,Coconut,12.775,33.56,20.785
2025-08,Corn,18.36,48.147,29.787
2025-08,Mango,34.055,122.757,88.702
2025-08,Palay,17.555,47.753,30.198
2025-08,Pineapple,23.91,68.84,44.93
2025-08,Ube,30.85,81.96,51.11
2025-09,Banana,19.458,53.428,33.969
2025-09,Cassava,14.975,39.78,24.805
2025-09,Coconut,12.38,33.775,21.395
2025-09,Corn,16.447,48.343,31.896
2025-09,Mango,40.228,131.281,91.054
2025-09,Palay,14.995,47.737,32.742
2025-09,Pineapple,26.02,70.51,44.49
2025-09,Ube,47.57,81.39,33.82
2025-10,Banana,19.003,52.782,33.779
2025-10,Cassava,10.46,39.68,29.22
2025-10,Coconut,12.545,34.005,21.46
2025-10,Corn,22.353,49.128,26.775
2025-10,Mango,35.02,133.276,98.256
2025-10,Palay,15.615,47.657,32.042
2025-10,Pineapple,20.413,71.307,50.893
2025-10,Ube,47.16,81.02,33.86
2025-11,Banana,18.418,52.608,34.189
2025-11,Cassava,11.785,40.13,28.345
2025-11,Coconut,14.24,34.09,19.85
2025-11,Corn,20.233,49.725,29.491
2025-11,Mango,43.608,135.309,91.701
2025-11,Palay,18.01,48.007,29.997
2025-11,Pineapple,22.207,72.227,50.02
2025-11,Ube,58.85,80.93,22.08
2025-12,Banana,17.967,53.595,35.628
2025-12,Cassava,16.58,40.23,23.65
2025-12,Coconut,12.88,34.44,21.56
2025-12,Corn,21.547,51.544,29.997
2025-12,Mango,39.615,139.571,99.956
2025-12,Palay,19.215,49.373,30.158
2025-12,Pineapple,25.923,74.387,48.463
2025-12,Ube,45.54,81.3,35.76
